"","SessionTitle","SessionSpeaker","SessionLevel","day","i.SessionLevel","SessionTrack","SessionAbstract"
"1","(Near) Zero-Downtime Upgrades","Argenis Fernandez",NA,NA,"200","DBA","SQL Server upgrades often promise enticing new features and much needed enhancements, but how can you perform upgrades while maintaining high availability of your SQL Server infrastructure? You can actually do this by leveraging rolling upgrades, which are upgrades performed with minimal downtime and minimal service disruptions.   In this session you will: - Understand how rolling upgrades are better than in place upgrades - Learn how to use Database Mirroring or AlwaysOn Availability Groups for rolling upgrades - Explore how you can use Log Shipping to perform a simpler type of rolling upgrade This is an interactive, demo-intensive talk!"
"2","10 Handy Tips on SQL Server Dates","Julie Koesmarno",NA,NA,"200","Dev","Are you working with an application supporting different time zones and international date formats? How does your choice of storing date / time values differ if you are using Windows Azure SQL Database instead of on-prem SQL Server database? Did you know that SQL Server Database Engine, Integration Services (SSIS) and Analysis Services (SSAS) all have slightly different date / time data types? How can you bullet proof your system for the ever growing data in your organization with much more date and time data to come? With time being the one thing that constantly changes, date and time calculations are widely used and essential to all business transactions. Yet, most systems only use one or two date data types; Is this a wise decision? Quite often data retrieval relating to a period of time does performs poorly, or worst of all, is not accurate. These 10 tips will help you bridge the gap, and provide the techniques to build bulletproof systems the users demand and DESERVE!"
"3","14 Reasons to Migrate to SQL Server 2014","Ajay Jadoo",NA,NA,"300","DBA","SQL Server 2014 has was released about a year ago and if you are not already running this version, it is high time to migrate. While SQL Server 2014 came with an abundance of new features and improvements, the In-Memory OLTP (Hekaton) and the Updatable columnstore indexes have been talked about much. While these are ground-breaking additions, there are so many other reasons why you should migrate to SQL Server 2014 and benefit from the other new features and enhancements. This session (with the help of some demos) will cover all the SQL Server 2014 Gems (some of which are lesser known) and provide you with many reasons why you should migrate to and/or start using this version. As a taster, some of the new features this session will cover:Backup Enhancements and Encrypted      Enhanced Scalability     New Design for Cardinality Estimation     Delayed Durability     AlwaysOn Enhancements     Buffer Pool Extension     Resource Governor Enhancements for Physical IO Control     New Security Features     Online Index Operations     ... and some hiddens gems"
"4","4 Free Tools to Find Your Servers Worst Queries","Brent Ozar",NA,NA,"200","DBA","You're using Profiler to trace queries, but you feel like you're still missing something. In just one hour, Brent Ozar will show you how to use much better free, easy tools to catch the killer queries lurking in the shadows. You'll learn how to use:ClearTrace - the slide-and-dice analytics tool for Profiler traces     sp_AskBrent - the easy way to see what's happening on your server right now     sp_WhoIsActive - Adam Machanic's amazing tool to get in-depth details about locks, wait stats, and more     sp_BlitzCache - like capturing a trace without all the pain"
"5","500-Level Guide to Career Internals","Brent Ozar",NA,NA,"500","Car","This is not one of those career sessions that tells you to be friendly and network - forget that. In the year 2015, there are better, faster ways towards getting the work you want. Brent Ozar will talk about his frustration of trying to find a decent job as a DBA, then how he made a few simple changes to turn things around. You'll get a simple 3-year career plan with monthly goals that you can accomplish in your spare time even if you've got a family and hobbies. You'll learn how to start a blog, how to promote yourself without being a slimy salesman, how to set your rates and salary, and why getting certifications probably isn't smart."
"6","7 Databases in 70 Minutes","Karen Lopez",200,2015-03-06,"200","Dev","Learn how traditional and new database technologies fit in a modern data architecture.  We will talk about the underlying concepts and terminology such as CAP, ACID and BASE and how they form the basis of evaluating each of the categories of databases. Learn about graph, Hadoop, relational, key value, document, and column family databases and how and when they should be considered. Finally, we will wrap up with 10 tips for working with new hybrid data architectures: tools, techniques and standards."
"7","A Day Inside SQL Server","Bob Ward",500,2015-03-04,"500","DBA","Do you want to know more about the internal workings of the SQL Server Engine? Do you have a desire to have your brain melted in a single day? This session may be for you. This training day event will cover the internal workings of SQL OS, SQL Server Memory, and SQL I/O: three of the most important fundamental components of the SQL Server Engine. This session is focused on the up to date internals of SQL Server 2012 and SQL Server 2014 but we will also point out differences where appropriate from prior releases. Some of the topics included in this session but not limited to are:Thread Scheduling     Resource Management     Windows API integration     Memory Management     Resource Governor     The Lifecycle of I/O     Tempdb and I/O     Cloud Hybrid I/O Scenarios  This session will include plenty of demos and as with any ""Inside"" session a healthy use of the Windows Debugger with SQL Server. This a very deep advanced session but understanding these internals can help you better prepare for deployment, management, and monitoring of your SQL Server."
"8","A New Approach to Unit and Integration Testing in SSIS","Reeves Smith",NA,NA,"300","BI","Testing is a critical part of the release process and vital to a high-quality data management lifecycle. Unfortunately, Integration Services (SSIS) does not have built-in support for testing and the tools for relational database testing are limited. As a result, most organizations forgo automated testing and focus entirely on manual user testing, which is both expensive and often occurs too late in the process to address all of the issues discovered.  In this session, a new approach to unit testing (focusing on verifying the correctness of individual packages, tasks, or dataflows) and integration testing (focusing on validating that the data produced by an entire sequence of transformations) will be discussed. This development pattern uses metadata authored by analysts to automatically generate testing logic within the corresponding packages or to automatically generate standalone test packages that contain all of the necessary validation logic."
"9","A journey to Power BI","Leila Etaati",NA,NA,"200","BI","The aim of this session is to introduce easier way than corporate BI .Power BI is a self- service tool which can handle all ETL process (extract, transfer and load), manage, discover, and visualize data. Power BI consists of many features and services, and works seamlessly with Excel. In this session you will see an end to end demo which shows how easily Power BI tools provides a business intelligence (BI) solution. In this demo we will show a practical solution which using        Power Query– easily discover and connect to data from public and corporate data sources     Power Pivot – create a sophisticated Data Model directly in Excel     Power View– create reports and analytical views with interactive data visualizations     Power Map– explore and navigate geo spatial data on a 3D map experience in Excel     Power Q&A– use natural language queries to find, explore, and report over your data"
"10","A modern BI platform using Azure in PaaS","Florian Eiden",NA,NA,"200","BI","Azure Stream Analytics, Azure HDInsight, Azure Data Factory, Azure Machine Learning… New tools that put together begin to form a new environment to grow BI platforms in, like we were never able to do before. Let’s make sense of all that and define canonical architectures for modern data platform, adapted to real world scenarios, used not only for reporting but also for analytics."
"11","A real DBA don’t need a GUI -A Guided Tour of SSMS","David Postlethwaite",NA,NA,"200","DBA","A real DBA don’t need a GUI -A Guided Tour of SQL Server Management Studio SQL Server Management Studio is at the heart of any SQL Server DBA or developer’s day. We take it for granted  but rarely do we take a look at how we can customise or improve it to make our day to day work easier and more productive.  This presentation will show you how to use SSMS and will look at many of the hidden features and shortcuts that you had forgotten about or didn’t know were there. At the end of this session you will have learnt at least one new feature of SSMS that you can use to improve your productivity."
"12","AD 2015. 2AM A Disaster just Began.","Tobiasz Janusz Koprowski",300,2015-03-07,"300","DBA","2AM. We sleeping well. And our mobile ringing and ringing. Message: DISASTER! In this session (on slides) we are NOT talk about potential disaster (such BCM); we talk about: What happened NOW?  New version odf my old well-known session updated for whole changes which happened iin DBA World in last two years. So, from the ground to the Sky and further - everything for surviving disaster. Which tasks should have been finished BEFORE. Is virtual or physical SQL matter? We talk about systems, databases, peoples, encryption, passwords, certificates and users. In this session (on few demos) I'll show which part of our SQL Server Environment are critical and how to be prepared to disaster. In some documents I'll show You how to be BEST prepared."
